seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	9983037	9983089	53	*	X00006	55841	9983795	10112518	128724	+	705	upstream	705	WWC3
chrX	13671083	13671363	281	*	X00007	170082	13671225	13682247	11023	+	0	overlapStart	0	TCEANC
chrX	13752689	13752942	254	*	X00008	6399	13730361	13752754	22394	-	0	overlapStart	0	TRAPPC2
chrX	13752689	13752942	254	*	X00008	8481	13752832	13787480	34649	+	0	overlapStart	0	OFD1
chrX	14891101	14891334	234	*	X00009	158747	14891527	14939459	47933	+	192	upstream	192	MOSPD2
chrX	14891101	14891334	234	*	X00009	2187	14861529	14891184	29656	-	0	overlapStart	0	FANCB
chrX	14891472	14891653	182	*	X00010	158747	14891527	14939459	47933	+	0	overlapStart	0	MOSPD2
chrX	14891472	14891653	182	*	X00010	2187	14861529	14891184	29656	-	287	upstream	287	FANCB
chrX	15353567	15353732	166	*	X00011	5277	15337573	15353676	16104	-	0	overlapStart	0	PIGA
chrX	15353892	15353988	97	*	X00012	5277	15337573	15353676	16104	-	215	upstream	215	PIGA
chrX	15511329	15511655	327	*	X00013	100532742	15363713	15509432	145720	-	1896	upstream	1896	PIR-FIGF
chrX	15511329	15511655	327	*	X00013	8544	15402924	15511711	108788	-	0	inside	55	PIR
chrX	15692940	15693149	210	*	X00014	340591	15693039	15721474	28436	+	0	overlapStart	0	CA5BP1
chrX	15755970	15756060	91	*	X00016	11238	15756412	15805748	49337	+	351	upstream	351	CA5B
chrX	15756379	15756468	90	*	X00017	11238	15756412	15805748	49337	+	0	overlapStart	0	CA5B
chrX	15872896	15873002	107	*	X00018	8905	15843929	15873137	29209	-	0	inside	134	AP1S2
chrX	15873108	15873250	143	*	X00019	8905	15843929	15873137	29209	-	0	overlapStart	0	AP1S2
chrX	16737498	16737824	327	*	X00020	94056	16737707	16780807	43101	+	0	overlapStart	0	SYAP1
chrX	16804244	16804365	122	*	X00021	55787	16804555	16862642	58088	+	189	upstream	189	TXLNG
chrX	16804491	16804692	202	*	X00022	55787	16804555	16862642	58088	+	0	overlapStart	0	TXLNG
chrX	16888406	16888582	177	*	X00023	5931	16862775	16888534	25760	-	0	overlapStart	0	RBBP7
